Agent ID,Agent Name,Branch ID,Agent Type,Seniority Years,Sales Region,Active Flag
1,Paweł Wójcik,216,Multiagent,7,Centrum,Yes
2,Adam Wójcik,131,Multiagent,15,Południe,Yes
3,Marta Wójcik,334,Agent wyłączny,20,Północ,Yes
4,Michał Woźniak,138,Multiagent,7,Wschód,Yes
5,Paweł Kowalczyk,34,Multiagent,17,Zachód,Yes
6,Monika Kowalski,327,Multiagent,3,Centrum,Yes
7,Marta Woźniak,254,Agent wyłączny,0,Północ,Yes
8,Magdalena Szymański,261,Direct Sales,1,Północ,Yes
9,Marcin Wiśniewski,185,Partner,18,Północ,Yes
10,Marta Kowalczyk,126,Agent wyłączny,11,Północ,Yes
11,Michał Nowak,388,Agent wyłączny,14,Południe,Yes
12,Jakub Zieliński,413,Agent wyłączny,18,Zachód,Yes
13,Krzysztof Kamiński,162,Multiagent,1,Zachód,Yes
14,Tomasz Woźniak,49,Partner,18,Południe,Yes
15,Marta Nowak,267,Agent wyłączny,16,Północ,Yes
16,Katarzyna Zieliński,397,Multiagent,19,Centrum,Yes
17,Adam Wiśniewski,85,Partner,12,Północ,Yes
18,Agnieszka Wójcik,188,Agent wyłączny,17,Południe,Yes
19,Krzysztof Kowalski,305,Agent wyłączny,16,Północ,Yes
20,Katarzyna Nowak,24,Multiagent,0,Wschód,Yes
21,Monika Wiśniewski,388,Direct Sales,19,Zachód,Yes
22,Tomasz Zieliński,290,Agent wyłączny,16,Południe,Yes
23,Michał Szymański,214,Agent wyłączny,4,Wschód,Yes
24,Agnieszka Kowalski,231,Multiagent,19,Północ,Yes
25,Anna Szymański,177,Agent wyłączny,20,Południe,Yes
26,Anna Kowalski,131,Direct Sales,7,Północ,Yes
27,Krzysztof Wójcik,90,Multiagent,20,Północ,Yes
28,Krzysztof Kamiński,344,Agent wyłączny,17,Centrum,Yes
29,Tomasz Wiśniewski,187,Agent wyłączny,5,Południe,Yes
30,Joanna Wiśniewski,282,Multiagent,4,Centrum,No
31,Paweł Kowalski,327,Multiagent,12,Północ,No
32,Ewa Kowalczyk,209,Agent wyłączny,1,Zachód,Yes
33,Anna Kowalski,273,Agent wyłączny,10,Zachód,Yes
34,Jakub Kamiński,416,Multiagent,11,Północ,Yes
35,Magdalena Zieliński,276,Broker,5,Centrum,Yes
36,Agnieszka Nowak,174,Agent wyłączny,8,Północ,Yes
37,Tomasz Kowalski,401,Multiagent,2,Centrum,Yes
38,Jakub Wójcik,343,Multiagent,1,Centrum,Yes
39,Agnieszka Kamiński,173,Multiagent,20,Wschód,Yes
40,Joanna Nowak,7,Agent wyłączny,3,Południe,Yes
41,Adam Wójcik,9,Broker,4,Północ,Yes
42,Marta Nowak,164,Broker,12,Wschód,Yes
43,Krzysztof Kamiński,266,Multiagent,3,Wschód,Yes
44,Piotr Wójcik,102,Direct Sales,16,Północ,Yes
45,Ewa Lewandowski,69,Direct Sales,13,Centrum,Yes
46,Marcin Nowak,250,Multiagent,9,Zachód,Yes
47,Michał Lewandowski,268,Agent wyłączny,7,Centrum,Yes
48,Agnieszka Lewandowski,122,Multiagent,13,Północ,Yes
49,Agnieszka Lewandowski,323,Multiagent,6,Centrum,Yes
50,Piotr Nowak,264,Multiagent,20,Centrum,Yes
51,Marcin Nowak,265,Multiagent,17,Centrum,Yes
52,Joanna Kamiński,105,Multiagent,3,Wschód,Yes
53,Agnieszka Wójcik,85,Multiagent,18,Północ,Yes
54,Agnieszka Szymański,51,Agent wyłączny,4,Południe,Yes
55,Marcin Nowak,19,Agent wyłączny,6,Wschód,Yes
56,Marta Wiśniewski,339,Direct Sales,9,Zachód,Yes
57,Krzysztof Lewandowski,71,Agent wyłączny,18,Północ,Yes
58,Monika Szymański,252,Direct Sales,7,Centrum,Yes
59,Michał Wiśniewski,183,Agent wyłączny,5,Zachód,Yes
60,Marcin Kowalczyk,364,Multiagent,7,Centrum,Yes
61,Monika Kowalczyk,108,Multiagent,2,Północ,Yes
62,Agnieszka Szymański,123,Partner,10,Wschód,Yes
63,Monika Kamiński,24,Partner,15,Wschód,Yes
64,Adam Wójcik,4,Direct Sales,3,Wschód,Yes
65,Marcin Kamiński,278,Agent wyłączny,17,Północ,Yes
66,Marta Szymański,141,Agent wyłączny,13,Zachód,Yes
67,Anna Nowak,116,Agent wyłączny,19,Wschód,Yes
68,Joanna Kowalski,248,Multiagent,14,Zachód,Yes
69,Katarzyna Szymański,172,Agent wyłączny,8,Południe,Yes
70,Ewa Nowak,55,Agent wyłączny,1,Wschód,Yes
71,Magdalena Zieliński,89,Agent wyłączny,0,Północ,Yes
72,Marta Zieliński,54,Direct Sales,4,Południe,Yes
73,Marcin Kowalski,44,Multiagent,1,Wschód,Yes
74,Marta Woźniak,407,Multiagent,18,Północ,Yes
75,Tomasz Lewandowski,340,Broker,18,Wschód,Yes
76,Jakub Nowak,271,Multiagent,8,Południe,Yes
77,Michał Kowalczyk,296,Agent wyłączny,20,Południe,Yes
78,Paweł Nowak,230,Multiagent,2,Północ,Yes
79,Jakub Kamiński,397,Broker,2,Południe,Yes
80,Piotr Woźniak,149,Partner,8,Zachód,Yes
81,Anna Zieliński,324,Agent wyłączny,9,Wschód,No
82,Monika Kowalski,388,Agent wyłączny,2,Zachód,Yes
83,Agnieszka Kowalski,110,Multiagent,17,Wschód,Yes
84,Monika Kamiński,334,Agent wyłączny,13,Północ,Yes
85,Monika Szymański,351,Multiagent,18,Wschód,Yes
86,Adam Wójcik,42,Agent wyłączny,12,Centrum,Yes
87,Marta Wójcik,404,Partner,14,Północ,Yes
88,Magdalena Wójcik,244,Multiagent,0,Centrum,Yes
89,Marta Kamiński,108,Agent wyłączny,7,Centrum,Yes
90,Tomasz Wójcik,113,Direct Sales,18,Wschód,Yes
91,Magdalena Kowalski,15,Broker,8,Południe,Yes
92,Krzysztof Woźniak,167,Agent wyłączny,13,Północ,Yes
93,Monika Wójcik,168,Broker,13,Wschód,Yes
94,Magdalena Woźniak,402,Multiagent,6,Zachód,Yes
95,Tomasz Szymański,239,Agent wyłączny,9,Centrum,Yes
96,Piotr Kowalczyk,32,Partner,17,Wschód,Yes
97,Katarzyna Nowak,61,Partner,3,Centrum,Yes
98,Marcin Wójcik,148,Agent wyłączny,17,Centrum,Yes
99,Jakub Szymański,314,Agent wyłączny,18,Centrum,No
100,Tomasz Nowak,226,Broker,9,Południe,Yes
101,Joanna Nowak,153,Agent wyłączny,20,Wschód,Yes
102,Agnieszka Kowalczyk,187,Broker,10,Zachód,Yes
103,Anna Nowak,312,Agent wyłączny,14,Wschód,Yes
104,Monika Kowalski,311,Agent wyłączny,2,Południe,Yes
105,Michał Lewandowski,198,Agent wyłączny,1,Centrum,Yes
106,Marta Zieliński,200,Multiagent,3,Północ,Yes
107,Krzysztof Kamiński,216,Broker,3,Północ,Yes
108,Paweł Wiśniewski,196,Multiagent,7,Południe,Yes
109,Krzysztof Szymański,274,Agent wyłączny,17,Zachód,Yes
110,Paweł Nowak,112,Broker,6,Północ,Yes
111,Anna Zieliński,241,Multiagent,12,Centrum,Yes
112,Michał Woźniak,255,Agent wyłączny,1,Wschód,Yes
113,Marta Kowalski,236,Multiagent,0,Wschód,Yes
114,Ewa Kamiński,371,Partner,16,Północ,Yes
115,Ewa Kowalski,148,Direct Sales,8,Północ,Yes
116,Anna Kamiński,269,Agent wyłączny,8,Zachód,Yes
117,Agnieszka Woźniak,342,Agent wyłączny,10,Wschód,Yes
118,Magdalena Szymański,109,Multiagent,9,Wschód,Yes
119,Ewa Kowalski,420,Agent wyłączny,7,Zachód,Yes
120,Agnieszka Kowalczyk,11,Multiagent,8,Północ,No
121,Agnieszka Wójcik,368,Direct Sales,14,Wschód,Yes
